npw,nband,sparsity,mpi_procs,omp_threads,iterations,time_ms,max_error
100,10,0,1,1,31,7.92145,1.8786e-07
100,10,0,1,2,31,9.41914,1.8786e-07
100,10,0,1,4,31,12.1805,1.8786e-07
500,50,6,1,1,28,286.707,2.79015e-07
500,50,6,1,2,27,308.482,2.05096e-07
500,50,6,1,4,27,352.635,2.692e-07
1000,100,8,1,1,31,2215.6,8.98602e-08
1000,100,8,1,2,31,2337.03,1.16763e-07
1000,100,8,1,4,27,2390.19,1.26303e-07
200,20,5,1,1,32,25.5843,1.45443e-07
200,20,5,1,2,32,31.34,1.45443e-07
200,20,5,1,4,32,38.4302,1.45443e-07
