npw,nband,sparsity,mpi_procs,omp_threads,iterations,time_ms,max_error
100,10,0,1,1,31,4.28876,1.8786e-07
100,10,0,1,2,31,8.02971,1.8786e-07
100,10,0,1,4,31,14.4775,1.8786e-07
500,50,6,1,1,28,287.016,2.79015e-07
500,50,6,1,2,27,313.402,2.05096e-07
500,50,6,1,4,27,362.859,2.692e-07
1000,100,8,1,1,31,2208.33,8.98602e-08
1000,100,8,1,2,31,2344.04,1.16763e-07
1000,100,8,1,4,31,2627.06,8.91212e-08
200,20,5,1,1,32,25.5868,1.45443e-07
200,20,5,1,2,32,34.2111,1.45443e-07
200,20,5,1,4,32,44.8801,1.45443e-07
