npw,nband,sparsity,mpi_procs,omp_threads,iterations,time_ms,max_error
100,10,0,1,1,31,7.75063,1.8786e-07
100,10,0,2,1,31,6.85092,1.8786e-07
100,10,0,4,1,31,8.7614,1.8786e-07
500,50,6,1,1,28,286.511,2.79015e-07
500,50,6,2,1,28,296.576,2.79015e-07
500,50,6,4,1,28,327.776,2.79015e-07
1000,100,8,1,1,31,2232.24,8.98602e-08
1000,100,8,2,1,31,2320.52,8.98601e-08
1000,100,8,4,1,31,2584.94,8.98602e-08
200,20,5,1,1,32,26.9208,1.45443e-07
200,20,5,2,1,32,27.3904,1.45443e-07
200,20,5,4,1,32,41.1216,1.45443e-07
