npw,nband,sparsity,mpi_procs,omp_threads,iterations,time_ms,max_error
100,10,0,1,1,200,55.2198,1.22302e-12
100,10,0,1,2,200,57.5579,1.22302e-12
100,10,0,1,4,200,61.5733,1.22657e-12
500,50,6,1,1,200,5175.34,1.11555e-12
500,50,6,1,2,200,5203.63,1.09779e-12
500,50,6,1,4,200,5597.56,1.09424e-12
1000,100,8,1,1,200,42207.9,1.52358e-11
1000,100,8,1,2,200,42301.3,1.52429e-11
1000,100,8,1,4,200,45845.4,1.52323e-11
200,20,5,1,1,200,386.379,3.32179e-13
200,20,5,1,2,200,395.012,3.32179e-13
200,20,5,1,4,200,407.674,3.32179e-13
