npw,nband,sparsity,mpi_procs,omp_threads,iterations,time_ms,max_error
100,10,0,1,1,200,55.5071,1.22302e-12
100,10,0,1,2,200,58.1273,1.22302e-12
100,10,0,1,4,200,62.0905,1.22657e-12
500,50,6,1,1,200,5433.69,1.11555e-12
500,50,6,1,2,200,5430.5,1.09779e-12
500,50,6,1,4,200,5759.96,1.09424e-12
1000,100,8,1,1,200,41757.9,1.52358e-11
1000,100,8,1,2,200,41759.7,1.52429e-11
1000,100,8,1,4,200,45156,1.52323e-11
200,20,5,1,1,200,378.405,3.32179e-13
200,20,5,1,2,200,387.266,3.32179e-13
200,20,5,1,4,200,407.486,3.32179e-13
