npw,nband,sparsity,mpi_procs,omp_threads,iterations,time_ms,max_error
100,10,0,1,1,200,127.976,1.22302e-12
100,10,0,2,1,200,169.076,1.21325e-12
100,10,0,4,1,200,177.046,1.22302e-12
500,50,6,1,1,200,10979.7,1.11555e-12
500,50,6,2,1,200,12156.2,1.10134e-12
500,50,6,4,1,200,7420.12,1.11555e-12
1000,100,8,1,1,200,69255.7,1.52358e-11
1000,100,8,2,1,200,48103.2,1.52447e-11
1000,100,8,4,1,200,49636.5,1.52358e-11
200,20,5,1,1,200,380.079,3.32179e-13
200,20,5,2,1,200,485.004,3.22409e-13
200,20,5,4,1,200,618.05,3.32179e-13
